Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,Cost_num,Sale_num,CTR,CPC,Conversion_Rate_calc,CPA,ROAS,CPM
A1000,Software Engineer Course,104.0,4498.0,$231.88,14.0,7.0,0.058,$1892,2024-11-16,Hyderabad,Desktop,learn data analytics,231.88,1892.0,0.023121387283236993,2.2296153846153848,0.0673076923076923,33.12571428571429,8.159392789373815,51.551800800355714
A1001,Software Engineer Course,173.0,5107.0,$216.84,10.0,8.0,0.046,$1679,2024-11-20,Hyderabad,Mobile,data analytics course,216.84,1679.0,0.033875073428627375,1.2534104046242776,0.046242774566473986,27.105,7.743036340158643,42.45936949285295
A1002,Software Engineer Course,90.0,4544.0,$203.66,26.0,9.0,,$1624,2024-11-16,Hyderabad,Desktop,data analitics online,203.66,1624.0,0.019806338028169015,2.262888888888889,0.1,22.628888888888888,7.974074437788471,44.81954225352113
A1003,Software Engineer Course,142.0,3185.0,$237.66,17.0,6.0,,$1225,2024-11-26,Hyderabad,Tablet,data anaytics training,237.66,1225.0,0.0445839874411303,1.673661971830986,0.04225352112676056,39.61,5.154422283935033,74.61852433281005
A1004,Software Engineer Course,156.0,3361.0,$195.9,30.0,8.0,,$1091,2024-11-22,Hyderabad,Desktop,online data analytic,195.9,1091.0,0.046414757512645045,1.2557692307692307,0.05128205128205128,24.4875,5.569167942827973,58.286224337994646
A1005,Software Engineer Course,195.0,3776.0,$243.57,10.0,8.0,,$1315,2024-11-16,Hyderabad,Mobile,data anaytics training,243.57,1315.0,0.051641949152542374,1.249076923076923,0.041025641025641026,30.44625,5.398858644332225,64.50476694915254
A1006,Software Engineer Course,116.0,4480.0,$237.79,17.0,5.0,0.043,$1640,2024-11-06,Hyderabad,Tablet,data analytics course,237.79,1640.0,0.025892857142857145,2.0499137931034483,0.04310344827586207,47.558,6.896841751124942,53.078125
A1007,Software Engineer Course,184.0,5060.0,$229.61,23.0,3.0,0.016,$1509,2024-11-24,Hyderabad,Tablet,analytics for data,229.61,1509.0,0.03636363636363636,1.2478804347826087,0.016304347826086956,76.53666666666668,6.57201341404991,45.37747035573123
A1008,Software Engineer Course,113.0,5434.0,,27.0,4.0,0.058,$1362,2024-11-24,Hyderabad,Tablet,data anaytics training,,1362.0,0.020794994479205006,,0.035398230088495575,,,
A1009,Software Engineer Course,166.0,3355.0,$186.78,24.0,9.0,0.054,$1029,2024-11-12,Hyderabad,Mobile,online data analytic,186.78,1029.0,0.04947839046199702,1.1251807228915662,0.05421686746987952,20.753333333333334,5.509155155798266,55.67213114754099
A1010,Software Engineer Course,101.0,5399.0,$236.79,20.0,6.0,0.059,$1900,2024-11-14,Hyderabad,Desktop,learn data analytics,236.79,1900.0,0.018707167994072977,2.3444554455445545,0.0594059405940594,39.464999999999996,8.023987499472106,43.85812187442119
A1011,Software Engineer Course,101.0,3613.0,$208.12,24.0,5.0,0.05,$1130,2024-11-22,Hyderabad,Desktop,online data analytic,208.12,1130.0,0.027954608358704676,2.0605940594059406,0.04950495049504951,41.624,5.4295598693061695,57.603099916966514
