Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,latitude,longitude
A1000,DevOps Course,104.0,4498.0,$231.88,14.0,7.0,0.058,$1892,2024-11-16,London,desktop,learn data analytics,51.525114,-0.155974
A1001,DevOps Course,173.0,5107.0,$216.84,10.0,8.0,0.046,$1679,20-11-2024,Berlin,mobile,data analytics course,52.495841,13.394758
A1002,Machine Learning Course,90.0,4544.0,$203.66,26.0,9.0,,$1624,2024/11/16,London,desktop,data analitics online,51.535843,-0.114496
A1003,Data Analytcis Course,142.0,3185.0,$237.66,17.0,6.0,,$1225,2024-11-26,London,tablet,data anaytics training,51.530781,-0.109289
A1004,Software Engineer Course,156.0,3361.0,$195.9,30.0,8.0,,$1091,2024-11-22,London,desktop,online data analytic,51.499582,-0.102857
A1005,DevOps Course,195.0,3776.0,$243.57,10.0,8.0,,$1315,16-11-2024,London,mobile,data anaytics training,51.515645,-0.145087
A1006,Software Engineer Course,116.0,4480.0,$237.79,17.0,5.0,0.043,$1640,06-11-2024,Berlin,tablet,data analytics course,52.541731,13.395642
A1007,Software Engineer Course,184.0,5060.0,$229.61,23.0,3.0,0.016,$1509,2024/11/24,London,tablet,analytics for data,51.525315,-0.117918
A1008,Software Engineer Course,113.0,5434.0,,27.0,4.0,0.058,$1362,2024/11/24,London,tablet,data anaytics training,51.536059,-0.116314
A1009,Data Analytcis Course,166.0,3355.0,$186.78,24.0,9.0,0.054,$1029,2024/11/12,London,mobile,online data analytic,51.494519,-0.151519
A1010,DevOps Course,101.0,5399.0,$236.79,20.0,6.0,0.059,$1900,14-11-2024,London,desktop,learn data analytics,51.480032,-0.129943
A1011,Software Engineer Course,101.0,3613.0,$208.12,24.0,5.0,0.05,$1130,2024/11/22,Berlin,desktop,online data analytic,52.533465,13.396519
A1012,Data Analytcis Course,125.0,3259.0,$191.3,18.0,3.0,0.024,$1959,2024/11/27,London,desktop,data analitics online,51.530579,-0.099508
A1013,Software Engineer Course,196.0,3742.0,$207.46,10.0,7.0,0.038,$1623,12-11-2024,London,mobile,data anaytics training,51.502528,-0.098734
A1014,Data Analytcis Course,181.0,4311.0,$185.09,11.0,9.0,0.05,$1538,2024-11-04,London,desktop,data anaytics training,51.506409,-0.141632
A1015,Data Analytcis Course,102.0,5461.0,$201.69,22.0,8.0,0.078,$1755,2024-11-29,London,desktop,data analytics course,51.518124,-0.129949
A1016,Data Analytcis Course,193.0,5159.0,,15.0,9.0,0.047,$1614,2024-11-10,Berlin,mobile,learn data analytics,52.502539,13.389636
A1017,Machine Learning Course,149.0,4431.0,$207.4,19.0,9.0,0.06,$1693,12-11-2024,Paris,mobile,learn data analytics,48.853202,2.35677
A1018,Software Engineer Course,150.0,3113.0,$217.41,20.0,5.0,,$1785,2024/11/07,Paris,mobile,analytics for data,48.855756,2.379442
A1019,Data Analytcis Course,145.0,5278.0,,25.0,6.0,0.041,$1516,2024-11-05,London,desktop,data analytics course,51.534166,-0.13648
A1020,Data Analytcis Course,184.0,4143.0,$223.3,10.0,10.0,0.044,$1735,2024/11/21,London,tablet,learn data analytics,51.494104,-0.126818
A1021,Software Engineer Course,171.0,4154.0,$184.23,30.0,7.0,0.041,$1803,2024/11/08,London,tablet,data analitics online,51.520465,-0.131788
A1022,Data Analytcis Course,122.0,5187.0,$211.24,27.0,6.0,0.049,$1322,2024-11-20,Berlin,desktop,online data analytic,52.530254,13.412606
A1023,Machine Learning Course,188.0,5798.0,$230.17,28.0,5.0,0.047,$1452,30-11-2024,Paris,tablet,data analytics course,48.870125,2.376792
A1024,DevOps Course,87.0,3718.0,,12.0,3.0,0.034,$1652,20-11-2024,Berlin,tablet,learn data analytics,52.498863,13.393498
A1025,DevOps Course,88.0,3349.0,$181.92,22.0,8.0,0.091,$1456,2024-11-20,Paris,tablet,learn data analytics,48.875866,2.363276
A1026,Machine Learning Course,119.0,5323.0,$205.92,17.0,10.0,0.06,$1656,2024-11-02,Berlin,desktop,online data analytic,52.526141,13.400729
A1027,Software Engineer Course,,5286.0,$234.89,22.0,10.0,,$1688,2024-11-21,London,desktop,data anaytics training,51.492432,-0.142344
A1028,Machine Learning Course,128.0,5469.0,$188.49,16.0,3.0,,$1783,2024-11-23,Paris,mobile,learn data analytics,48.850778,2.364345
A1029,Data Analytcis Course,86.0,3351.0,$237.75,21.0,9.0,0.105,$1975,2024/11/13,Paris,mobile,analytics for data,48.842004,2.344446
A1030,Software Engineer Course,188.0,4834.0,$213.58,15.0,4.0,0.021,$1590,2024-11-08,Berlin,tablet,online data analytic,52.533405,13.432848
A1031,DevOps Course,113.0,5065.0,$212.37,11.0,5.0,,$1111,22-11-2024,London,desktop,online data analytic,51.531659,-0.102152
A1032,Data Analytcis Course,,3872.0,$244.38,20.0,4.0,,$1041,12-11-2024,London,tablet,data analitics online,51.506591,-0.154495
A1033,Software Engineer Course,176.0,5509.0,$234.59,19.0,7.0,0.054,$1710,2024/11/03,London,tablet,data analytics course,51.489157,-0.109742
A1034,Data Analytcis Course,121.0,5610.0,$214.96,23.0,8.0,,,2024-11-25,Paris,mobile,data analytics course,48.874223,2.348986
A1035,DevOps Course,104.0,5275.0,$236.48,16.0,9.0,0.031,$1824,01-11-2024,Paris,desktop,data anaytics training,48.856493,2.339072
A1036,Machine Learning Course,146.0,5939.0,$242.9,11.0,8.0,0.035,$1833,2024-11-07,London,desktop,data anaytics training,51.513747,-0.105542
